Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
File,ArchUnitTests.java,6,1,,,,,6,,53
File,ArgumentAccessException.java,2,1,,,,,2,,14
File,ArgumentConversionException.java,2,1,,,,,2,,14
File,ArgumentConverter.java,0,0,,,,,1,,8
File,Arguments.java,3,1,,,,,3,,16
File,ArgumentsAccessor.java,0,0,,,,,14,,21
File,ArgumentsAggregationException.java,2,1,,,,,2,,14
File,ArgumentsAggregator.java,0,0,,,,,1,,9
File,ArgumentsProvider.java,0,0,,,,,1,,9
File,ArgumentsSource.java,0,0,,,,,1,,17
File,ArgumentsSources.java,0,0,,,,,1,,15
File,ArgumentsTests.java,4,1,,,,,4,,30
File,AsciidocApiReportWriter.java,8,1,,,,,8,,43
File,AssertAll.java,11,1,,,,,7,,56
File,AssertAllAssertionsTests.java,57,1,,,,,18,,163
File,AssertArrayEquals.java,101,1,,,,,52,,340
File,AssertArrayEqualsAssertionsTests.java,343,1,,,,,122,,1775
File,AssertDoesNotThrow.java,14,1,,,,,11,,57
File,AssertDoesNotThrowAssertionsTests.java,60,1,,,,,25,,243
File,AssertEquals.java,53,1,,,,,33,,148
File,AssertEqualsAssertionsTests.java,145,1,,,,,57,,624
File,AssertFalse.java,9,1,,,,,7,,33
File,AssertFalseAssertionsTests.java,26,1,,,,,9,,77
File,AssertIterableEquals.java,21,1,,,,,11,,91
File,AssertIterableEqualsAssertionsTests.java,67,1,,,,,28,,381
File,AssertLinesMatch.java,32,2,,,,,8,,128
File,AssertLinesMatchAssertionsTests.java,57,1,,,,,20,,213
File,AssertNotEquals.java,52,1,,,,,32,,145
File,AssertNotEqualsAssertionsTests.java,131,1,,,,,56,,650
File,AssertNotNull.java,7,1,,,,,5,,24
File,AssertNotNullAssertionsTests.java,9,1,,,,,4,,40
File,AssertNotSame.java,7,1,,,,,5,,25
File,AssertNotSameAssertionsTests.java,13,1,,,,,7,,61
File,AssertNull.java,7,1,,,,,5,,25
File,AssertNullAssertionsTests.java,11,1,,,,,5,,54
File,AssertSame.java,7,1,,,,,5,,25
File,AssertSameAssertionsTests.java,13,1,,,,,6,,76
File,AssertThrows.java,7,1,,,,,5,,44
File,AssertThrowsAssertionsTests.java,45,1,,,,,19,,216
File,AssertTimeout.java,26,1,,,,,15,,117
File,AssertTimeoutAssertionsTests.java,79,1,,,,,26,,230
File,AssertTrue.java,9,1,,,,,7,,33
File,AssertTrueAssertionsTests.java,26,1,,,,,9,,77
File,AssertionBenchmarks.java,11,1,,,,,7,,34
File,AssertionTestUtils.java,21,1,,,,,12,,71
File,AssertionUtils.java,43,1,,,,,26,,126
File,Assertions.java,280,1,,,,,280,,987
File,Assertions.java,13,1,,,,,8,,58
File,AssertionsDemo.java,24,1,,,,,10,,93
File,Assumptions.java,23,1,,,,,16,,77
File,AssumptionsDemo.java,5,1,,,,,3,,26
File,AssumptionsTests.java,69,1,,,,,25,,170
File,AtypicalJvmMethodNameTests.java,5,1,,,,,1,,24
File,AvailableOptions.java,12,1,,,,,8,,229
File,BeforeAll.java,0,0,,,,,0,,14
File,BeforeAllAndAfterAllComposedAnnotationTests.java,4,1,,,,,4,,43
File,BeforeAllCallback.java,0,0,,,,,1,,8
File,BeforeAndAfterAllTests.java,40,1,,,,,39,,281
File,BeforeAndAfterEachTests.java,43,1,,,,,42,,376
File,BeforeAndAfterTestExecutionCallbackTests.java,37,1,,,,,37,,337
File,BeforeEach.java,0,0,,,,,0,,14
File,BeforeEachAndAfterEachComposedAnnotationTests.java,4,1,,,,,4,,43
File,BeforeEachCallback.java,0,0,,,,,1,,8
