org.apache.commons.io.file.DirectoryStreamFilter.java: {'JaCoCo': '5', 'Clover': '3'}
org.apache.commons.io.file.NoopPathVisitor.java: {'JaCoCo': '0', 'Clover': '0'}
org.apache.commons.io.file.PathFilter.java: {'JaCoCo': 0, 'Clover': '0'}
org.apache.commons.io.file.PathUtils.java: {'JaCoCo': '25', 'Clover': '148'}
org.apache.commons.io.file.PathVisitor.java: {'JaCoCo': 0, 'Clover': '0'}
org.apache.commons.io.file.SimplePathVisitor.java: {'JaCoCo': '2', 'Clover': '0'}
org.apache.commons.io.file.StandardDeleteOption.java: {'JaCoCo': '7', 'Clover': '5'}
org.apache.commons.io.serialization.ClassNameMatcher.java: {'JaCoCo': 0, 'Clover': '0'}
org.apache.commons.io.serialization.FullClassNameMatcher.java: {'JaCoCo': '4', 'Clover': '2'}
org.apache.commons.io.serialization.RegexpClassNameMatcher.java: {'JaCoCo': '8', 'Clover': '5'}
org.apache.commons.io.serialization.ValidatingObjectInputStream.java: {'JaCoCo': '38', 'Clover': '34'}
org.apache.commons.io.serialization.WildcardClassNameMatcher.java: {'JaCoCo': '4', 'Clover': '2'}
org.apache.commons.io.output.AbstractByteArrayOutputStream.java: {'JaCoCo': '99', 'Clover': '87'}
org.apache.commons.io.output.AppendableOutputStream.java: {'JaCoCo': '6', 'Clover': '3'}
org.apache.commons.io.output.AppendableWriter.java: {'JaCoCo': '20', 'Clover': '15'}
org.apache.commons.io.output.BrokenOutputStream.java: {'JaCoCo': '6', 'Clover': '4'}
org.apache.commons.io.output.BrokenWriter.java: {'JaCoCo': '8', 'Clover': '5'}
org.apache.commons.io.output.ByteArrayOutputStream.java: {'JaCoCo': '31', 'Clover': '23'}
org.apache.commons.io.output.ChunkedOutputStream.java: {'JaCoCo': '16', 'Clover': '12'}
org.apache.commons.io.output.ChunkedWriter.java: {'JaCoCo': '16', 'Clover': '12'}
org.apache.commons.io.output.CloseShieldOutputStream.java: {'JaCoCo': '5', 'Clover': '3'}
org.apache.commons.io.output.CloseShieldWriter.java: {'JaCoCo': '5', 'Clover': '3'}
org.apache.commons.io.output.ClosedOutputStream.java: {'JaCoCo': '4', 'Clover': '2'}
org.apache.commons.io.output.ClosedWriter.java: {'JaCoCo': '5', 'Clover': '2'}
org.apache.commons.io.output.CountingOutputStream.java: {'JaCoCo': '16', 'Clover': '14'}
org.apache.commons.io.output.DeferredFileOutputStream.java: {'JaCoCo': '47', 'Clover': '41'}
org.apache.commons.io.output.DemuxOutputStream.java: {'JaCoCo': '9', 'Clover': '6'}
org.apache.commons.io.output.FileWriterWithEncoding.java: {'JaCoCo': '51', 'Clover': '32'}
org.apache.commons.io.output.FilterCollectionWriter.java: {'JaCoCo': '140', 'Clover': '110'}
org.apache.commons.io.output.LockableFileWriter.java: {'JaCoCo': '37', 'Clover': '28'}
org.apache.commons.io.output.NullAppendable.java: {'JaCoCo': '4', 'Clover': '3'}
org.apache.commons.io.output.NullOutputStream.java: {'JaCoCo': '6', 'Clover': '0'}
org.apache.commons.io.output.NullPrintStream.java: {'JaCoCo': '3', 'Clover': '1'}
org.apache.commons.io.output.NullWriter.java: {'JaCoCo': '12', 'Clover': '2'}
org.apache.commons.io.output.ProxyCollectionWriter.java: {'JaCoCo': '58', 'Clover': '53'}
org.apache.commons.io.output.ProxyOutputStream.java: {'JaCoCo': '28', 'Clover': '20'}
org.apache.commons.io.output.ProxyWriter.java: {'JaCoCo': '62', 'Clover': '52'}
org.apache.commons.io.output.QueueOutputStream.java: {'JaCoCo': '14', 'Clover': '9'}
org.apache.commons.io.output.StringBuilderWriter.java: {'JaCoCo': '25', 'Clover': '15'}
org.apache.commons.io.output.TaggedOutputStream.java: {'JaCoCo': '7', 'Clover': '4'}
org.apache.commons.io.output.TaggedWriter.java: {'JaCoCo': '7', 'Clover': '4'}
org.apache.commons.io.output.TeeOutputStream.java: {'JaCoCo': '18', 'Clover': '13'}
org.apache.commons.io.output.TeeWriter.java: {'JaCoCo': '4', 'Clover': '2'}
org.apache.commons.io.output.ThresholdingOutputStream.java: {'JaCoCo': '36', 'Clover': '24'}
org.apache.commons.io.output.UnsynchronizedByteArrayOutputStream.java: {'JaCoCo': '27', 'Clover': '21'}
org.apache.commons.io.output.WriterOutputStream.java: {'JaCoCo': '68', 'Clover': '51'}
org.apache.commons.io.output.XmlStreamWriter.java: {'JaCoCo': '42', 'Clover': '31'}
org.apache.commons.io.input.buffer.CircularBufferInputStream.java: {'JaCoCo': '41', 'Clover': '35'}
org.apache.commons.io.input.buffer.CircularByteBuffer.java: {'JaCoCo': '29', 'Clover': '25'}
org.apache.commons.io.input.buffer.PeekableInputStream.java: {'JaCoCo': '0', 'Clover': '0'}
org.apache.commons.io.monitor.FileAlterationListener.java: {'JaCoCo': 0, 'Clover': '0'}
org.apache.commons.io.monitor.FileAlterationListenerAdaptor.java: {'JaCoCo': '9', 'Clover': '0'}
org.apache.commons.io.monitor.FileAlterationMonitor.java: {'JaCoCo': '60', 'Clover': '38'}
org.apache.commons.io.monitor.FileAlterationObserver.java: {'JaCoCo': '113', 'Clover': '92'}
org.apache.commons.io.monitor.FileEntry.java: {'JaCoCo': '27', 'Clover': '22'}
org.apache.commons.io.ByteOrderMark.java: {'JaCoCo': '46', 'Clover': '39'}
org.apache.commons.io.ByteOrderParser.java: {'JaCoCo': '5', 'Clover': '5'}
org.apache.commons.io.Charsets.java: {'JaCoCo': '17', 'Clover': '11'}
org.apache.commons.io.CopyUtils.java: {'JaCoCo': '38', 'Clover': '31'}
org.apache.commons.io.DirectoryWalker.java: {'JaCoCo': '8', 'Clover': '47'}
org.apache.commons.io.EndianUtils.java: {'JaCoCo': '86', 'Clover': '74'}
org.apache.commons.io.FileCleaner.java: {'JaCoCo': '2', 'Clover': '1'}
org.apache.commons.io.FileCleaningTracker.java: {'JaCoCo': '28', 'Clover': '33'}
org.apache.commons.io.FileDeleteStrategy.java: {'JaCoCo': '15', 'Clover': '13'}
org.apache.commons.io.FileExistsException.java: {'JaCoCo': '2', 'Clover': '1'}
org.apache.commons.io.FileSystem.java: {'JaCoCo': '50', 'Clover': '38'}
org.apache.commons.io.FileSystemUtils.java: {'JaCoCo': '140', 'Clover': '128'}
org.apache.commons.io.FileUtils.java: {'JaCoCo': '584', 'Clover': '522'}
